Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank,Experience,Previous_Best,Previous_Average
Helsinki,1952,100.0,Freestyle,0,Men,HUN,Geza Kadas,58.6,4,1.0,58.1,58.1
London,1948,400.0,Freestyle,0,Men,HUN,Geza Kadas,289.4,4,0.0,,
Seoul,1988,100.0,Breaststroke,0,Men,ITA,Gianni Minervini,62.93,4,0.0,,
London,2012,100.0,Breaststroke,0,Men,LTU,Giedrius Titenis,60.84,1,0.0,,
Helsinki,1952,100.0,Backstroke,0,Men,FRA,Gilbert Bozon,66.2,2,0.0,,
Paris,1924,100.0,Freestyle,0,Women,FRA,Gilberte Mortier,,0,0.0,,
Montreal,1976,100.0,Breaststroke,0,Men,ITA,Giorgio Lalle,64.37,4,0.0,,
Angeles,1984,400.0,Individual medley,0,Men,ITA,Giovanni Franceschi,266.05,4,0.0,,
Berlin,1936,100.0,Freestyle,0,Women,GER,Gisela Arendt-Jacobs,66.599999,3,0.0,,
Paris,1924,200.0,Breaststroke,0,Women,GBR,Gladys Carson,215.4,3,0.0,,
Barcelona,1992,1500.0,Freestyle,0,Men,AUS,Glen Clifford Housman,895.29,2,0.0,,
City,1968,100.0,Backstroke,0,Women,NZL,Glenda Joy Stirling,70.6,4,0.0,,
Angeles,1984,200.0,Breaststroke,0,Men,AUS,Glenn Beringen,135.789999,3,0.0,,
Angeles,1984,100.0,Butterfly,0,Men,AUS,Glenn Buchanan,53.85,3,0.0,,
Sydney,2000,200.0,Backstroke,0,Men,CRO,Gordan Kozulj,119.38,4,0.0,,
Montreal,1976,200.0,Freestyle,0,Men,GBR,Gordon Hunter Downie,112.78,4,0.0,,
Moscow,1980,100.0,Freestyle,0,Men,AUS,Graeme Brewer,52.22,4,0.0,,
Moscow,1980,200.0,Freestyle,0,Men,AUS,Graeme Brewer,111.6,3,0.0,,
Atlanta,1996,1500.0,Freestyle,0,Men,GBR,Graeme Smith,902.48,3,0.0,,
Athens,2004,1500.0,Freestyle,0,Men,GBR,Graeme Smith,909.71,4,1.0,902.48,902.48
Munich,1972,400.0,Freestyle,0,Men,AUS,Graham Claud Windeatt,242.93,4,0.0,,
Munich,1972,400.0,Individual medley,0,Men,AUS,Graham Claud Windeatt,280.39,4,0.0,,
Munich,1972,1500.0,Freestyle,0,Men,AUS,Graham Claud Windeatt,958.48,2,0.0,,
City,1968,400.0,Freestyle,0,Men,AUS,Graham Rose White,256.7,4,0.0,,
City,1968,1500.0,Freestyle,0,Men,AUS,Graham Rose White,1028.0,4,0.0,,
Munich,1972,1500.0,Freestyle,0,Men,AUS,Graham Rose White,977.22,4,1.0,1028.0,1028.0
Montreal,1976,100.0,Breaststroke,0,Men,CAN,Graham Smith,64.26,4,0.0,,
Montreal,1976,200.0,Breaststroke,0,Men,CAN,Graham Smith,139.42,4,0.0,,
Montreal,1976,400.0,Individual medley,0,Men,CAN,Graham Smith,268.64,4,0.0,,
Melbourne,1956,100.0,Backstroke,0,Men,GBR,Graham Sykes,65.599999,4,0.0,,
Sydney,2000,200.0,Freestyle,0,Men,AUS,Grant Hackett,109.46,4,0.0,,
Athens,2004,200.0,Freestyle,0,Men,AUS,Grant Hackett,106.56,4,1.0,109.46,109.46
Sydney,2000,400.0,Freestyle,0,Men,AUS,Grant Hackett,228.22,4,0.0,,
Athens,2004,400.0,Freestyle,0,Men,AUS,Grant Hackett,223.36,2,1.0,228.22,228.22
Beijing,2008,400.0,Freestyle,0,Men,AUS,Grant Hackett,223.84,4,2.0,223.36,225.79000000000002
Sydney,2000,1500.0,Freestyle,0,Men,AUS,Grant Hackett,888.33,1,0.0,,
Athens,2004,1500.0,Freestyle,0,Men,AUS,Grant Hackett,883.4,1,1.0,888.33,888.33
Beijing,2008,1500.0,Freestyle,0,Men,AUS,Grant Hackett,881.53,2,2.0,883.4,885.865
London,1948,100.0,Backstroke,0,Women,NED,Greetje Gaillard,79.1,4,0.0,,
Athens,2004,200.0,Backstroke,0,Men,GBR,Gregor Tait,119.28,4,0.0,,
Beijing,2008,200.0,Backstroke,0,Men,GBR,Gregor Tait,117.0,4,1.0,119.28,119.28
Tokyo,2020,800.0,Freestyle,0,Men,ITA,Gregorio Paltrinieri,462.11,2,0.0,,
London,2012,1500.0,Freestyle,0,Men,ITA,Gregorio Paltrinieri,891.92,4,0.0,,
Rio,2016,1500.0,Freestyle,0,Men,ITA,Gregorio Paltrinieri,874.57,1,1.0,891.92,891.92
Tokyo,2020,1500.0,Freestyle,0,Men,ITA,Gregorio Paltrinieri,885.01,4,2.0,874.57,883.245
City,1968,400.0,Freestyle,0,Men,AUS,Gregory Brough,255.9,4,0.0,,
City,1968,1500.0,Freestyle,0,Men,AUS,Gregory Brough,1024.7,3,0.0,,
Barcelona,1992,200.0,Individual medley,0,Men,USA,Gregory Burgess,120.97,2,0.0,,
Atlanta,1996,200.0,Individual medley,0,Men,USA,Gregory Burgess,122.56,4,1.0,120.97,120.97
City,1968,200.0,Individual medley,0,Men,USA,Gregory F. Buckingham,133.0,2,0.0,,
City,1968,400.0,Individual medley,0,Men,USA,Gregory F. Buckingham,291.4,3,0.0,,
London,1948,100.0,Freestyle,0,Women,DEN,Greta Marie Andersen,66.3,1,0.0,,
Helsinki,1952,400.0,Freestyle,0,Women,DEN,Greta Marie Andersen,327.0,4,0.0,,
Stockholm,1912,100.0,Freestyle,0,Women,GER,Grete Rosenberg,87.2,4,0.0,,
Berlin,1936,400.0,Freestyle,0,Women,DEN,Grethe Ortved Frederiksen,345.0,4,0.0,,
Moscow,1980,400.0,Individual medley,0,Women,GDR,Grit Slaby,288.54,4,0.0,,
Rio,2016,200.0,Backstroke,0,Men,CHN,Guangyuan Li,115.89,4,0.0,,
Munich,1972,100.0,Butterfly,0,Women,FRG,Gudrun Beckmann,64.15,4,0.0,,
Munich,1972,400.0,Freestyle,0,Women,GDR,Gudrun Wegner,263.11,3,0.0,,
Munich,1972,800.0,Freestyle,0,Women,GDR,Gudrun Wegner,538.89,4,0.0,,
Tokyo,2020,800.0,Freestyle,0,Men,BRA,Guilherme Costa,473.31,4,0.0,,
City,1968,1500.0,Freestyle,0,Men,MEX,Guillermo Echevarria Perez,1056.4,4,0.0,,
